Month Year,Sales Volume,Sales Volume (in '000),Sales_Volume (in '000)
Jan-87,1664.81,1.66481,1.665
Feb-87,2397.53,2.39753,2.398
Mar-87,2840.71,2.84071,2.841
Apr-87,3547.29,3.54729,3.547
May-87,3752.96,3.75296,3.753
Jun-87,3714.74,3.71474,3.715
Jul-87,4349.61,4.34961,4.35
Aug-87,3566.34,3.56634,3.566
Sep-87,5021.82,5.02182,5.022
Oct-87,6423.48,6.42348,6.423
Nov-87,7600.60,7.6006,7.601
Dec-87,19756.21,19.75621,19.756
Jan-88,2499.81,2.49981,2.5
Feb-88,5198.24,5.19824,5.198
Mar-88,7225.14,7.22514,7.225
Apr-88,4806.03,4.80603,4.806
May-88,5900.88,5.90088,5.901
Jun-88,4951.34,4.95134,4.951
Jul-88,6179.12,6.17912,6.179
Aug-88,4752.15,4.75215,4.752
Sep-88,5496.43,5.49643,5.496
Oct-88,5835.10,5.8351,5.835
Nov-88,12600.08,12.60008,12.6
Dec-88,28541.72,28.54172,28.542
Jan-89,4717.02,4.71702,4.717
Feb-89,5702.63,5.70263,5.703
Mar-89,9957.58,9.95758,9.958
Apr-89,5304.78,5.30478,5.305
May-89,6492.43,6.49243,6.492
Jun-89,6630.80,6.6308,6.631
Jul-89,7349.62,7.34962,7.35
Aug-89,8176.62,8.17662,8.177
Sep-89,8573.17,8.57317,8.573
Oct-89,9690.50,9.6905,9.691
Nov-89,15151.84,15.15184,15.152
Dec-89,34061.01,34.06101,34.061
Jan-90,5921.10,5.9211,5.921
Feb-90,5814.58,5.81458,5.815
Mar-90,12421.25,12.42125,12.421
Apr-90,6369.77,6.36977,6.37
May-90,7609.12,7.60912,7.609
Jun-90,7224.75,7.22475,7.225
Jul-90,8121.22,8.12122,8.121
Aug-90,7979.25,7.97925,7.979
Sep-90,8093.06,8.09306,8.093
Oct-90,8476.70,8.4767,8.477
Nov-90,17914.66,17.91466,17.915
Dec-90,30114.41,30.11441,30.114
Jan-91,4826.64,4.82664,4.827
Feb-91,6470.23,6.47023,6.47
Mar-91,9638.77,9.63877,9.639
Apr-91,8821.17,8.82117,8.821
May-91,8722.37,8.72237,8.722
Jun-91,10209.48,10.20948,10.209
Jul-91,11276.55,11.27655,11.277
Aug-91,12552.22,12.55222,12.552
Sep-91,11637.39,11.63739,11.637
Oct-91,13606.89,13.60689,13.607
Nov-91,21822.11,21.82211,21.822
Dec-91,45060.69,45.06069,45.061
Jan-92,7615.03,7.61503,7.615
Feb-92,9849.69,9.84969,9.85
Mar-92,14558.40,14.5584,14.558
Apr-92,11587.33,11.58733,11.587
May-92,9332.56,9.33256,9.333
Jun-92,13082.09,13.08209,13.082
Jul-92,16732.78,16.73278,16.733
Aug-92,19888.61,19.88861,19.889
Sep-92,23933.38,23.93338,23.933
Oct-92,25391.35,25.39135,25.391
Nov-92,36024.80,36.0248,36.025
Dec-92,80721.71,80.72171,80.722
Jan-93,10243.24,10.24324,10.243
Feb-93,11266.88,11.26688,11.267
Mar-93,21826.84,21.82684,21.827
Apr-93,17357.33,17.35733,17.357
May-93,15997.79,15.99779,15.998
Jun-93,18601.53,18.60153,18.602
Jul-93,26155.15,26.15515,26.155
Aug-93,28586.52,28.58652,28.587
Sep-93,30505.41,30.50541,30.505
Oct-93,30821.33,30.82133,30.821
Nov-93,46634.38,46.63438,46.634
Dec-93,104660.67,104.66067,104.661
